fragrance_1,fragrance_2,type_similarity,occasion_similarity,season_similarity,audience_similarity
Salted Green Mango Strangers Parfumerie 2019,Dior Homme Intense Dior 2011,0.129,0.69,0.437,0.958
Salted Green Mango Strangers Parfumerie 2019,Dior Homme Parfum Dior 2014,0.142,0.669,0.418,0.932
Salted Green Mango Strangers Parfumerie 2019,Eau Parfumée au Thé Blanc Bvlgari 2003,0.7,0.973,0.982,0.891
Salted Green Mango Strangers Parfumerie 2019,Eau Parfumée au Thé Vert Bvlgari 1992,0.774,0.943,0.993,0.899
Salted Green Mango Strangers Parfumerie 2019,Eau de Soleil Blanc Tom Ford 2017,0.322,0.997,0.973,0.911
Salted Green Mango Strangers Parfumerie 2019,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.161,0.65,0.264,0.931
Salted Green Mango Strangers Parfumerie 2019,Eros Versace 2020 EAU DE PARFUM,0.593,0.853,0.833,0.835
Salted Green Mango Strangers Parfumerie 2019,Explorer Montblanc 2019,0.725,0.978,0.932,0.881
Salted Green Mango Strangers Parfumerie 2019,First Instinct Together Man Abercrombie & Fitch 2020,0.595,0.876,0.983,0.936
Salted Green Mango Strangers Parfumerie 2019,Gentleman Givenchy Réserve Privée Givenchy 2022,0.192,0.704,0.345,0.868
Salted Green Mango Strangers Parfumerie 2019,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.784,0.977,0.922,0.911
Salted Green Mango Strangers Parfumerie 2019,Gucci pour Homme II Gucci 2007 EAU DE TOILETTE,0.597,0.968,0.892,0.96
Salted Green Mango Strangers Parfumerie 2019,Haltane Parfums de Marly 2021,0.321,0.755,0.482,0.885
Salted Green Mango Strangers Parfumerie 2019,Hero Burberry 2022 EAU DE PARFUM,0.238,0.927,0.496,0.919
Salted Green Mango Strangers Parfumerie 2019,Herod Parfums de Marly 2012,0.261,0.716,0.316,0.97
Salted Green Mango Strangers Parfumerie 2019,Hugo Iced Hugo Boss 2017,0.865,0.934,0.993,0.934
Salted Green Mango Strangers Parfumerie 2019,Invictus Platinum Paco Rabanne 2022,0.567,0.945,0.947,0.867
Salted Green Mango Strangers Parfumerie 2019,Invictus Victory Paco Rabanne 2021,0.361,0.8,0.578,0.857
Salted Green Mango Strangers Parfumerie 2019,Jimmy Choo Man Aqua Jimmy Choo 2022,0.642,0.922,0.991,0.863
Salted Green Mango Strangers Parfumerie 2019,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.813,0.975,0.99,0.946
Salted Green Mango Strangers Parfumerie 2019,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,0.316,0.756,0.654,0.919
Salted Green Mango Strangers Parfumerie 2019,Layton Parfums de Marly 2016,0.454,0.817,0.603,0.93
Salted Green Mango Strangers Parfumerie 2019,Le Mâle Elixir Jean Paul Gaultier 2023,0.088,0.699,0.422,0.946
Salted Green Mango Strangers Parfumerie 2019,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,0.274,0.861,0.719,0.922
Salted Green Mango Strangers Parfumerie 2019,Legend Montblanc 2011 EAU DE TOILETTE,0.691,0.991,0.921,0.885
Salted Green Mango Strangers Parfumerie 2019,Legend Montblanc 2020 EAU DE PARFUM,0.546,0.983,0.885,0.885
Salted Green Mango Strangers Parfumerie 2019,Les Royales Exclusives - Spice and Wood Creed 2010,0.745,0.936,0.835,0.941
Salted Green Mango Strangers Parfumerie 2019,Light Blue pour Homme Dolce & Gabbana 2007 EAU DE TOILETTE,0.752,0.909,0.97,0.91
Salted Green Mango Strangers Parfumerie 2019,Lost Cherry Tom Ford 2018 EAU DE PARFUM,0.342,0.773,0.641,0.902
Salted Green Mango Strangers Parfumerie 2019,Luna Rossa Ocean Prada 2023 EAU DE PARFUM,0.396,0.975,0.865,0.907
Salted Green Mango Strangers Parfumerie 2019,Mandarino di Amalfi Acqua Tom Ford 2017,0.873,0.972,0.981,0.994
Salted Green Mango Strangers Parfumerie 2019,Millésime Impérial Creed 1994,0.807,0.993,0.989,0.972
Salted Green Mango Strangers Parfumerie 2019,Mousse Illuminée Rogue 2018,0.645,0.971,0.852,0.95
Salted Green Mango Strangers Parfumerie 2019,Mugler Cologne Mugler 2001,0.812,0.943,0.988,0.987
Salted Green Mango Strangers Parfumerie 2019,Musc Ravageur Editions de Parfums Frédéric Malle 2000,0.196,0.724,0.484,0.97
Salted Green Mango Strangers Parfumerie 2019,Myslf Yves Saint Laurent 2023,0.466,0.986,0.906,0.928
Salted Green Mango Strangers Parfumerie 2019,Neroli Portofino Tom Ford 2007 EAU DE PARFUM,0.738,0.974,0.985,0.994
Salted Green Mango Strangers Parfumerie 2019,Oliver Strangers Parfumerie 2018,0.856,0.981,0.993,0.991
Salted Green Mango Strangers Parfumerie 2019,Ombré Leather Tom Ford 2018 EAU DE PARFUM,0.162,0.773,0.484,0.947
Salted Green Mango Strangers Parfumerie 2019,Oud for Greatness Initio 2018,0.237,0.65,0.41,0.958
Salted Green Mango Strangers Parfumerie 2019,Pardon Nasomatto 2011 EXTRAIT DE PARFUM,0.238,0.7,0.438,0.954
Salted Green Mango Strangers Parfumerie 2019,Percival Parfums de Marly 2018,0.792,0.975,0.96,0.909
Salted Green Mango Strangers Parfumerie 2019,Play Intense Givenchy 2008 EAU DE TOILETTE,0.22,0.801,0.485,0.901
Salted Green Mango Strangers Parfumerie 2019,Polo Deep Blue Ralph Lauren 2020,0.827,0.934,0.98,0.885
Salted Green Mango Strangers Parfumerie 2019,Polo Red Parfum Ralph Lauren 2023,0.586,0.976,0.758,0.95
Salted Green Mango Strangers Parfumerie 2019,Reflection Man Amouage 2007,0.297,0.929,0.896,0.946
Salted Green Mango Strangers Parfumerie 2019,Royal Oud Creed 2011,0.504,0.873,0.668,0.913
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,1 Million Elixir Paco Rabanne 2022,0.47,0.782,0.959,0.872
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.628,0.813,0.976,0.861
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.666,0.879,0.982,0.916
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Acqua di Giò Parfum Giorgio Armani 2023,0.467,0.951,0.859,0.946
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Althaïr Parfums de Marly 2023,0.535,0.851,0.88,0.958
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.665,0.935,0.972,0.808
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.714,0.975,0.899,0.963
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Angels' Share Kilian 2020,0.635,0.755,0.866,0.912
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.474,0.896,0.769,0.952
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Armani Code Absolu pour Homme Giorgio Armani 2019,0.617,0.845,0.945,0.933
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.862,0.954,0.984,0.963
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Artisan Pure John Varvatos 2017,0.501,0.87,0.608,0.963
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Aventus Creed 2010,0.583,0.973,0.918,0.945
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Awake Akro 2018,0.676,0.959,0.968,0.922
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Bad Boy Cobalt Carolina Herrera 2022,0.56,0.929,0.927,0.863
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Bentley for Men Absolute Bentley 2014,0.652,0.913,0.938,0.974
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.575,0.89,0.72,0.921
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.688,0.972,0.92,0.936
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Bon Monsieur Rogue 2020,0.66,0.976,0.935,0.975
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Boss Bottled Elixir Hugo Boss 2023,0.713,0.881,0.911,0.975
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Boss Bottled Parfum Hugo Boss 2022,0.814,0.961,0.987,0.949
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Chrome Azzaro 1996 EAU DE TOILETTE,0.518,0.848,0.736,0.913
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Chrome Extrême Azzaro 2020,0.36,0.891,0.721,0.918
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Cigar Rum Strangers Parfumerie 2017,0.7,0.883,0.976,0.975
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Club Black Mercedes-Benz 2017,0.533,0.859,0.895,0.972
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Costa Azzurra Tom Ford 2014 EAU DE PARFUM,0.681,0.952,0.761,0.984
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Dark Akro 2018,0.64,0.853,0.94,0.915
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Dior Homme Cologne Dior 2013,0.321,0.836,0.634,0.959
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.65,0.979,0.885,0.962
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Dior Homme Intense Dior 2011,0.63,0.82,0.944,0.997
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Dior Homme Parfum Dior 2014,0.615,0.8,0.935,0.995
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Eau Parfumée au Thé Blanc Bvlgari 2003,0.575,0.904,0.809,0.78
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Eau Parfumée au Thé Vert Bvlgari 1992,0.582,0.851,0.711,0.778
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Eau de Soleil Blanc Tom Ford 2017,0.276,0.948,0.658,0.793
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.64,0.778,0.868,0.961
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Eros Versace 2020 EAU DE PARFUM,0.462,0.897,0.978,0.829
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Explorer Montblanc 2019,0.586,0.951,0.91,0.93
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,First Instinct Together Man Abercrombie & Fitch 2020,0.287,0.727,0.817,0.894
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Gentleman Givenchy Réserve Privée Givenchy 2022,0.739,0.825,0.907,0.965
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.753,0.974,0.921,0.989
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Gucci pour Homme II Gucci 2007 EAU DE TOILETTE,0.878,0.996,0.947,0.972
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Haltane Parfums de Marly 2021,0.874,0.863,0.961,0.98
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Hero Burberry 2022 EAU DE PARFUM,0.749,0.975,0.962,0.939
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Herod Parfums de Marly 2012,0.696,0.831,0.894,0.993
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Hugo Iced Hugo Boss 2017,0.52,0.834,0.714,0.945
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Invictus Platinum Paco Rabanne 2022,0.451,0.908,0.887,0.821
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Invictus Victory Paco Rabanne 2021,0.599,0.888,0.986,0.864
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Jimmy Choo Man Aqua Jimmy Choo 2022,0.487,0.788,0.701,0.871
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.617,0.91,0.768,0.971
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,0.852,0.871,0.995,0.947
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Layton Parfums de Marly 2016,0.733,0.907,0.986,0.952
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Le Mâle Elixir Jean Paul Gaultier 2023,0.417,0.799,0.937,0.929
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,0.703,0.916,0.996,0.919
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Legend Montblanc 2011 EAU DE TOILETTE,0.646,0.958,0.921,0.93
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Legend Montblanc 2020 EAU DE PARFUM,0.697,0.941,0.94,0.932
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Les Royales Exclusives - Spice and Wood Creed 2010,0.88,0.99,0.977,0.997
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Light Blue pour Homme Dolce & Gabbana 2007 EAU DE TOILETTE,0.518,0.781,0.607,0.906
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Lost Cherry Tom Ford 2018 EAU DE PARFUM,0.263,0.861,0.994,0.777
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Luna Rossa Ocean Prada 2023 EAU DE PARFUM,0.621,0.979,0.964,0.92
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Mandarino di Amalfi Acqua Tom Ford 2017,0.388,0.903,0.686,0.941
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Millésime Impérial Creed 1994,0.513,0.966,0.786,0.989
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Mousse Illuminée Rogue 2018,0.709,0.972,0.963,0.988
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Mugler Cologne Mugler 2001,0.43,0.852,0.717,0.931
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Musc Ravageur Editions de Parfums Frédéric Malle 2000,0.703,0.832,0.96,0.976
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Myslf Yves Saint Laurent 2023,0.625,0.962,0.934,0.905
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Neroli Portofino Tom Ford 2007 EAU DE PARFUM,0.359,0.897,0.637,0.944
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Oliver Strangers Parfumerie 2018,0.653,0.909,0.767,0.962
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Ombré Leather Tom Ford 2018 EAU DE PARFUM,0.506,0.871,0.959,0.997
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Oud for Greatness Initio 2018,0.823,0.77,0.935,0.999
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Pardon Nasomatto 2011 EXTRAIT DE PARFUM,0.771,0.814,0.946,1.0
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Percival Parfums de Marly 2018,0.703,0.917,0.868,0.939
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Play Intense Givenchy 2008 EAU DE TOILETTE,0.649,0.901,0.96,0.905
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Polo Deep Blue Ralph Lauren 2020,0.516,0.812,0.696,0.942
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Polo Red Parfum Ralph Lauren 2023,0.65,0.988,0.979,0.98
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Reflection Man Amouage 2007,0.612,0.986,0.945,0.98
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Royal Oud Creed 2011,0.909,0.963,0.995,0.992
Santal Eau de Santal Floris 2002 EAU DE TOILETTE,Salted Green Mango Strangers Parfumerie 2019,0.556,0.952,0.702,0.958
Sapphire Collection - London Widian / AJ Arabia 2018,1 Million Elixir Paco Rabanne 2022,0.675,0.997,0.998,0.893
Sapphire Collection - London Widian / AJ Arabia 2018,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.727,0.998,0.995,0.878
Sapphire Collection - London Widian / AJ Arabia 2018,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.535,0.986,0.953,0.907
Sapphire Collection - London Widian / AJ Arabia 2018,Acqua di Giò Parfum Giorgio Armani 2023,0.087,0.669,0.725,0.914
Sapphire Collection - London Widian / AJ Arabia 2018,Althaïr Parfums de Marly 2023,0.418,0.995,0.957,0.987
Sapphire Collection - London Widian / AJ Arabia 2018,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.454,0.951,1.0,0.878
Sapphire Collection - London Widian / AJ Arabia 2018,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.475,0.739,0.785,0.973
Sapphire Collection - London Widian / AJ Arabia 2018,Angels' Share Kilian 2020,0.475,0.997,0.947,0.961
Sapphire Collection - London Widian / AJ Arabia 2018,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.146,0.593,0.617,0.939
Sapphire Collection - London Widian / AJ Arabia 2018,Armani Code Absolu pour Homme Giorgio Armani 2019,0.691,0.997,0.99,0.927
Sapphire Collection - London Widian / AJ Arabia 2018,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.499,0.94,0.998,0.946
Sapphire Collection - London Widian / AJ Arabia 2018,Artisan Pure John Varvatos 2017,0.102,0.541,0.427,0.962
Sapphire Collection - London Widian / AJ Arabia 2018,Aventus Creed 2010,0.453,0.84,0.811,0.917
Sapphire Collection - London Widian / AJ Arabia 2018,Awake Akro 2018,0.346,0.874,0.999,0.967
Sapphire Collection - London Widian / AJ Arabia 2018,Bad Boy Cobalt Carolina Herrera 2022,0.529,0.767,0.824,0.874
Sapphire Collection - London Widian / AJ Arabia 2018,Bentley for Men Absolute Bentley 2014,0.317,0.969,0.989,0.928
Sapphire Collection - London Widian / AJ Arabia 2018,Bergamote 22 Le Labo 2006 EAU DE PARFUM,0.17,0.538,0.561,0.969
Sapphire Collection - London Widian / AJ Arabia 2018,Bleu de Chanel Chanel 2010 EAU DE TOILETTE,0.256,0.725,0.813,0.912
Sapphire Collection - London Widian / AJ Arabia 2018,Bon Monsieur Rogue 2020,0.225,0.796,0.837,0.949
Sapphire Collection - London Widian / AJ Arabia 2018,Boss Bottled Elixir Hugo Boss 2023,0.452,0.982,0.979,0.943
Sapphire Collection - London Widian / AJ Arabia 2018,Boss Bottled Parfum Hugo Boss 2022,0.676,0.925,0.986,0.92
Sapphire Collection - London Widian / AJ Arabia 2018,Chrome Azzaro 1996 EAU DE TOILETTE,0.14,0.514,0.581,0.895
Sapphire Collection - London Widian / AJ Arabia 2018,Chrome Extrême Azzaro 2020,0.219,0.623,0.551,0.899
Sapphire Collection - London Widian / AJ Arabia 2018,Cigar Rum Strangers Parfumerie 2017,0.583,0.969,0.999,0.991
Sapphire Collection - London Widian / AJ Arabia 2018,Club Black Mercedes-Benz 2017,0.435,0.993,0.968,0.989
Sapphire Collection - London Widian / AJ Arabia 2018,Costa Azzurra Tom Ford 2014 EAU DE PARFUM,0.234,0.683,0.603,0.994
Sapphire Collection - London Widian / AJ Arabia 2018,Dark Akro 2018,0.386,0.957,0.988,0.961
Sapphire Collection - London Widian / AJ Arabia 2018,Dior Homme Cologne Dior 2013,0.153,0.501,0.457,0.974
Sapphire Collection - London Widian / AJ Arabia 2018,Dior Homme Eau for Men Dior 2014 EAU DE TOILETTE,0.364,0.71,0.764,0.963
Sapphire Collection - London Widian / AJ Arabia 2018,Dior Homme Intense Dior 2011,0.515,0.996,0.991,0.986
Sapphire Collection - London Widian / AJ Arabia 2018,Dior Homme Parfum Dior 2014,0.696,0.996,0.988,0.974
Sapphire Collection - London Widian / AJ Arabia 2018,Eau Parfumée au Thé Blanc Bvlgari 2003,0.221,0.549,0.669,0.861
Sapphire Collection - London Widian / AJ Arabia 2018,Eau Parfumée au Thé Vert Bvlgari 1992,0.139,0.442,0.552,0.86
Sapphire Collection - London Widian / AJ Arabia 2018,Eau de Soleil Blanc Tom Ford 2017,0.294,0.699,0.486,0.875
Sapphire Collection - London Widian / AJ Arabia 2018,Emporio Armani - Stronger With You Absolutely Giorgio Armani 2021,0.503,0.998,0.949,0.952
Sapphire Collection - London Widian / AJ Arabia 2018,Eros Versace 2020 EAU DE PARFUM,0.432,0.952,0.913,0.832
Sapphire Collection - London Widian / AJ Arabia 2018,Explorer Montblanc 2019,0.409,0.676,0.798,0.909
Sapphire Collection - London Widian / AJ Arabia 2018,First Instinct Together Man Abercrombie & Fitch 2020,0.375,0.449,0.686,0.923
Sapphire Collection - London Widian / AJ Arabia 2018,Gentleman Givenchy Réserve Privée Givenchy 2022,0.532,0.999,0.976,0.922
Sapphire Collection - London Widian / AJ Arabia 2018,Grey Vetiver Tom Ford 2009 EAU DE PARFUM,0.182,0.693,0.813,0.958
Sapphire Collection - London Widian / AJ Arabia 2018,Gucci pour Homme II Gucci 2007 EAU DE TOILETTE,0.484,0.794,0.857,0.972
Sapphire Collection - London Widian / AJ Arabia 2018,Haltane Parfums de Marly 2021,0.673,0.993,0.996,0.939
Sapphire Collection - London Widian / AJ Arabia 2018,Hero Burberry 2022 EAU DE PARFUM,0.474,0.89,0.989,0.93
Sapphire Collection - London Widian / AJ Arabia 2018,Herod Parfums de Marly 2012,0.6,0.999,0.968,0.989
Sapphire Collection - London Widian / AJ Arabia 2018,Hugo Iced Hugo Boss 2017,0.145,0.439,0.545,0.943
Sapphire Collection - London Widian / AJ Arabia 2018,Invictus Platinum Paco Rabanne 2022,0.36,0.788,0.767,0.841
Sapphire Collection - London Widian / AJ Arabia 2018,Invictus Victory Paco Rabanne 2021,0.368,0.981,0.996,0.859
Sapphire Collection - London Widian / AJ Arabia 2018,Jimmy Choo Man Aqua Jimmy Choo 2022,0.104,0.475,0.529,0.864
Sapphire Collection - London Widian / AJ Arabia 2018,L'Eau d'Issey pour Homme Issey Miyake 1994 EAU DE TOILETTE,0.222,0.618,0.615,0.964
Sapphire Collection - London Widian / AJ Arabia 2018,La Nuit de L'Homme Yves Saint Laurent 2009 EAU DE TOILETTE,0.563,0.991,0.99,0.936
Sapphire Collection - London Widian / AJ Arabia 2018,Layton Parfums de Marly 2016,0.698,0.975,0.997,0.944
Sapphire Collection - London Widian / AJ Arabia 2018,Le Mâle Elixir Jean Paul Gaultier 2023,0.372,0.997,0.99,0.942
Sapphire Collection - London Widian / AJ Arabia 2018,Le Mâle Jean Paul Gaultier 1995 EAU DE TOILETTE,0.543,0.954,0.971,0.923
Sapphire Collection - London Widian / AJ Arabia 2018,Legend Montblanc 2011 EAU DE TOILETTE,0.465,0.677,0.817,0.908
Sapphire Collection - London Widian / AJ Arabia 2018,Legend Montblanc 2020 EAU DE PARFUM,0.471,0.66,0.846,0.91
Sapphire Collection - London Widian / AJ Arabia 2018,Les Royales Exclusives - Spice and Wood Creed 2010,0.389,0.857,0.912,0.98
Sapphire Collection - London Widian / AJ Arabia 2018,Light Blue pour Homme Dolce & Gabbana 2007 EAU DE TOILETTE,0.194,0.371,0.425,0.909
Sapphire Collection - London Widian / AJ Arabia 2018,Lost Cherry Tom Ford 2018 EAU DE PARFUM,0.59,0.989,0.99,0.862
Sapphire Collection - London Widian / AJ Arabia 2018,Luna Rossa Ocean Prada 2023 EAU DE PARFUM,0.335,0.801,0.884,0.912
Sapphire Collection - London Widian / AJ Arabia 2018,Mandarino di Amalfi Acqua Tom Ford 2017,0.232,0.58,0.52,0.982
Sapphire Collection - London Widian / AJ Arabia 2018,Millésime Impérial Creed 1994,0.281,0.702,0.637,0.99
Sapphire Collection - London Widian / AJ Arabia 2018,Mousse Illuminée Rogue 2018,0.234,0.814,0.889,0.984
Sapphire Collection - London Widian / AJ Arabia 2018,Mugler Cologne Mugler 2001,0.108,0.512,0.555,0.975
Sapphire Collection - London Widian / AJ Arabia 2018,Musc Ravageur Editions de Parfums Frédéric Malle 2000,0.496,0.997,0.996,0.988
Sapphire Collection - London Widian / AJ Arabia 2018,Myslf Yves Saint Laurent 2023,0.412,0.725,0.833,0.921
Sapphire Collection - London Widian / AJ Arabia 2018,Neroli Portofino Tom Ford 2007 EAU DE PARFUM,0.18,0.604,0.46,0.983
Sapphire Collection - London Widian / AJ Arabia 2018,Oliver Strangers Parfumerie 2018,0.299,0.582,0.614,0.992
Sapphire Collection - London Widian / AJ Arabia 2018,Ombré Leather Tom Ford 2018 EAU DE PARFUM,0.773,0.99,0.998,0.98
Sapphire Collection - London Widian / AJ Arabia 2018,Oud for Greatness Initio 2018,0.55,0.998,0.987,0.987
Sapphire Collection - London Widian / AJ Arabia 2018,Pardon Nasomatto 2011 EXTRAIT DE PARFUM,0.474,0.999,0.991,0.986
Sapphire Collection - London Widian / AJ Arabia 2018,Percival Parfums de Marly 2018,0.294,0.634,0.74,0.928
Sapphire Collection - London Widian / AJ Arabia 2018,Play Intense Givenchy 2008 EAU DE TOILETTE,0.559,0.979,0.997,0.906
Sapphire Collection - London Widian / AJ Arabia 2018,Polo Deep Blue Ralph Lauren 2020,0.254,0.443,0.519,0.916
Sapphire Collection - London Widian / AJ Arabia 2018,Polo Red Parfum Ralph Lauren 2023,0.662,0.77,0.946,0.971
Sapphire Collection - London Widian / AJ Arabia 2018,Reflection Man Amouage 2007,0.441,0.876,0.854,0.969
Sapphire Collection - London Widian / AJ Arabia 2018,Royal Oud Creed 2011,0.417,0.923,0.987,0.962
Sapphire Collection - London Widian / AJ Arabia 2018,Salted Green Mango Strangers Parfumerie 2019,0.344,0.681,0.541,0.989
Sapphire Collection - London Widian / AJ Arabia 2018,Santal Eau de Santal Floris 2002 EAU DE TOILETTE,0.468,0.8,0.973,0.988
Sartorial Penhaligon's 2010,1 Million Elixir Paco Rabanne 2022,0.402,0.812,0.962,0.813
Sartorial Penhaligon's 2010,1 Million Paco Rabanne 2008 EAU DE TOILETTE,0.516,0.843,0.972,0.802
Sartorial Penhaligon's 2010,212 VIP Black Carolina Herrera 2017 EAU DE PARFUM,0.613,0.904,0.991,0.876
Sartorial Penhaligon's 2010,Acqua di Giò Parfum Giorgio Armani 2023,0.361,0.939,0.855,0.944
Sartorial Penhaligon's 2010,Althaïr Parfums de Marly 2023,0.44,0.877,0.877,0.916
Sartorial Penhaligon's 2010,Ambre Cashmere Intense Parfums de Nicolaï 2015,0.625,0.953,0.975,0.756
Sartorial Penhaligon's 2010,Amyris Homme Maison Francis Kurkdjian 2012 EAU DE TOILETTE,0.611,0.968,0.898,0.923
Sartorial Penhaligon's 2010,Angels' Share Kilian 2020,0.516,0.792,0.861,0.869
Sartorial Penhaligon's 2010,Aqva pour Homme Bvlgari 2005 EAU DE TOILETTE,0.357,0.874,0.765,0.925
Sartorial Penhaligon's 2010,Armani Code Absolu pour Homme Giorgio Armani 2019,0.545,0.875,0.942,0.895
Sartorial Penhaligon's 2010,Armani Code Giorgio Armani 2021 EAU DE PARFUM,0.693,0.97,0.986,0.941
Sartorial Penhaligon's 2010,Artisan Pure John Varvatos 2017,0.329,0.843,0.6,0.932
Sartorial Penhaligon's 2010,Aventus Creed 2010,0.432,0.977,0.915,0.932
Sartorial Penhaligon's 2010,Awake Akro 2018,0.579,0.957,0.968,0.881
Sartorial Penhaligon's 2010,Bad Boy Cobalt Carolina Herrera 2022,0.496,0.92,0.927,0.81
Sartorial Penhaligon's 2010,Bentley for Men Absolute Bentley 2014,0.625,0.933,0.937,0.992
